# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-1.933125752547672160e+00 -1.722695606756665443e+00 2.841430456739402199e+00 -1.307965841082471492e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.977970652377604610e+00 -1.739508312331055961e+00 2.887319734167927532e+00 -1.301552992974192913e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.008291055029044259e+00 -1.750462168903745175e+00 2.918134682076047426e+00 -1.300159377893675972e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.036466642354360701e+00 -1.760916394146025299e+00 2.946961583125215167e+00 -1.287971875222895246e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.085484724449391258e+00 -1.774517946414722491e+00 2.994450187696631183e+00 -1.272324439635909910e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.118984599912516753e+00 -1.786021712973712372e+00 3.028269838060485331e+00 -1.274735093076937886e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.169759205902602517e+00 -1.803545519393265684e+00 3.079649216503464793e+00 -1.280016300758962222e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.196469706473883399e+00 -1.810417929591744635e+00 3.105341154855989494e+00 -1.265094098349581309e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.229883155000323747e+00 -1.821599602982345356e+00 3.139024763034905519e+00 -1.269485986577401526e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.277234630856819209e+00 -1.835844980424468975e+00 3.185893945713551556e+00 -1.260737466488548453e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.308993093999119672e+00 -1.843964140205296864e+00 3.216549231169524958e+00 -1.252248735835811422e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.357232093957380314e+00 -1.857562989094818429e+00 3.263912149806892593e+00 -1.248609946915816948e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.389300195160309226e+00 -1.865340379751810662e+00 3.294727865360635111e+00 -1.243610247011874614e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.441041881904131294e+00 -1.880296955479993315e+00 3.345889142090276991e+00 -1.249836590271816039e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
