x y error lookahead integral_lateral
-3.237014350851086242e-01 -2.016282600715894602e-01 3.813614746348342188e-01 1.822042211952251134e-01 0.000000000000000000e+00
-3.236449750168144401e-01 -2.016312261809996009e-01 3.813151206350042788e-01 1.821972680952506363e-01 0.000000000000000000e+00
-3.235683161364695248e-01 -2.016327594086826935e-01 3.812508686864201635e-01 1.821876303029630328e-01 0.000000000000000000e+00
-3.234914863060874834e-01 -2.016355415293033526e-01 3.811871368768062207e-01 1.821780705315209359e-01 0.000000000000000000e+00
-3.234354230379942186e-01 -2.016365182735107564e-01 3.811400771071314919e-01 1.821710115660697127e-01 0.000000000000000000e+00
-3.233478936275866467e-01 -2.016381162716516795e-01 3.810666480380790477e-01 1.821599972057118544e-01 0.000000000000000000e+00
-3.232863322743422807e-01 -2.016391301099926259e-01 3.810149490858737442e-01 1.821522423628810505e-01 0.000000000000000000e+00
-3.231588512005125757e-01 -2.016422790591385072e-01 3.809084559489307464e-01 1.821362683923395953e-01 0.000000000000000000e+00
-3.230777976119599271e-01 -2.016441125090589481e-01 3.808406640832364687e-01 1.821260996124854648e-01 0.000000000000000000e+00
-3.229707478004830712e-01 -2.016469785018868421e-01 3.807513727798543801e-01 1.821127059169781459e-01 0.000000000000000000e+00
-3.229202630053031875e-01 -2.016481434591187449e-01 3.807091672391453296e-01 1.821063750858717967e-01 0.000000000000000000e+00
-3.228469490680483389e-01 -2.016497428283783311e-01 3.806478310791985842e-01 1.820971746618798015e-01 0.000000000000000000e+00
-3.227978177691708250e-01 -2.016502069746016201e-01 3.806064071050807573e-01 1.820909610657621136e-01 0.000000000000000000e+00
-3.227147247364829385e-01 -2.016524221632362557e-01 3.805371111022471942e-01 1.820805666653370625e-01 0.000000000000000000e+00
-3.226600056451700560e-01 -2.016530812926114469e-01 3.804910569747280147e-01 1.820736585462092161e-01 0.000000000000000000e+00
-3.225545934350875221e-01 -2.016543248546123768e-01 3.804023297492329370e-01 1.820603494623849461e-01 0.000000000000000000e+00
-3.224712845776752101e-01 -2.016570813714640975e-01 3.803331537539598739e-01 1.820499730630939783e-01 0.000000000000000000e+00
-3.223861666111740298e-01 -2.016583733146324331e-01 3.802616729965713205e-01 1.820392509494856981e-01 0.000000000000000000e+00
-3.223279647509822987e-01 -2.016592207144949911e-01 3.802127801109372318e-01 1.820319170166405653e-01 0.000000000000000000e+00
-3.222475466073380090e-01 -2.016608217039052020e-01 3.801454567724606437e-01 1.820218185158690993e-01 0.000000000000000000e+00
-3.221813639010820962e-01 -2.016624709727507514e-01 3.800902306610852710e-01 1.820135345991627795e-01 0.000000000000000000e+00
-3.220890304670555038e-01 -2.016639028271771661e-01 3.800127277482913124e-01 1.820019091622436802e-01 0.000000000000000000e+00
-3.220254826795085346e-01 -2.016656028215274565e-01 3.799597700498574260e-01 1.819939655074785945e-01 0.000000000000000000e+00
-3.219380697403374514e-01 -2.016675824128297267e-01 3.798867391004453475e-01 1.819830108650667966e-01 0.000000000000000000e+00
